likes,body,url
30,"Серверное применение Linux, 3-е издание 
 
 Описана настройка различных типов серверов: Web-, FTP-, DNS-, DHCP-, почтового сервера, сервера баз данных. Подробно рассмотрена установка и базовая настройка операционной системы, настройка связки Apache + MySQL + PHP, дано общее устройство Linux и разобраны основные принципы работы с этой операционной системой. Отдельное внимание уделено защите сервера на базе Linux: настройка брандмауэра, защита маршрутизатора и точки доступа и т. д. Описана работа системы контроля доступа Tomoyo, прокси-серверов Squid и SquidGuard. Изложение основано на последних на момент написания книги версиях популярных дистрибутивов Fedora, Mandriva, Ubuntu, openSUSE. Третье издание существенно дополнено новым материалом: рассматривается дистрибутив openSUSE, приводится расширенное описание брандмауэра iptables, настройка сети производится не только с помощью графических конфигураторов, но и с помощью конфигурационных файлов системы, рассмотрены средства резервного копирования remastersys, Clonezilla, Linux Live. Для администраторов Linux и опытных пользователей. 
 #book@php2all #linux@php2all 
 
 Книги в альбоме https://vk.com/php2all/book",pass
67,"Уроки Python от Web Developer Blog. Часть 2. 
  
 1. Списки (Массивы) 
 2. Кортежи 
 3. Словари (dict) 
 4. Множества (Set, Frozenset) 
 5. Строки, вся работа 
 6. Работа с файлами 
 7. Модули 
 Первая часть 1: https://vk.com/wall-54530371_256949 
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
110,Программисты в фильмах,pass
50,,pass
50,"Искусственный интеллект и нейронные сети C# 
 Простая нейросеть. 
 Обучение нейронных сетей. Алгоритм обратного распространения ошибки 
 Нормализация и масштабирование данных. Обучение по Dataset. 
 Компьютерное зрение и распознавание образов нейронной сетью 
 Информационная система медицинской организации 
 #neural   #csharp   
  
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
31,"Программирование на C для начинающих, 3-е издание 
 Автор: Грег Перри, Дин Миллер 
 Год: 2015 
 Чтобы писать мощные программы на C, необязательно быть экспертом! Эта книга максимально быстро поможет вам освоить язык C благодаря невероятно четкому и простому изложению материала. Вы изучите все основные темы, связанные с этим языком: как организовать программу, хранить и отображать данные, работать с переменными, операторами, вводом/выводом, указателями, массивами, функциями и многими другими вещами. Язык программирования C еще никогда не был таким простым! 
 Оказывается, язык программирования C может быть простым! 
 Перед вами – лучшая из современных книг по программированию на C для начинающих. Она поможет вам приобрести практические навыки, которые пригодятся при программировании на любом языке. Простые и дельные примеры помогут вам начать создавать различные программы – от игр до мобильных приложений – на языке C. 
  
 ● Структура программы 
 ● Логические операторы и выражения 
 ● Переменные 
 ● Циклы 
 ● Встроенные функции 
 ● Массивы и указатели 
 ● Тестирование программ 
 ● Генерация вывода 
 #book@php2all #c__@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
3,"Мечтали когда-нибудь написать «Hello, World!» на фарси? 

Тогда сдавайте вступительный тест и записывайтесь на вебинар 22 июня в 20:00 (мск): https://otus.pw/5LGu/

🖍Вы разберётесь в использовании Unicode в программах различными способами. 
🖍Подробно изучите старые-добрые приёмы по локализации приложений на C++. 
🖍Посмотрите, как разбираться с «кракозябрами». 
🖍Узнаете новое значение слова «кодировка».

Ведет Марат Сейфуллин - ведущий GoLang разработчик, знаток BigData и High Load-а. Вебинар пройдет в рамках набора на онлайн курс ""Разработчик С++"".",pass
54,"Технологии Java 
 Начинаем программировать на Java 
 Объектно-ориентированные конструкции Java 
 Коллекции в Java 
 Использование XML в Java 
 Многопоточное программирование в Java 
 Базы данных в Java 
 Web-программирование в Java 
 Web-программирование в Java 
 Что такое ООП и ШП Часть 1 
 Что такое ООП и ШП Часть 2 
 #java   
  
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
26,for(int i = 0; i &lt; 3; i++){punch++;} sleep(360);,pass
40,"Код. Тайный язык информатики 
  
 Автор: Чарльз Петцольд 
  
 Эта книга – азбука компьютерных технологий. Шаг за шагом автор знакомит читателя с сущностью кодирования информации, рассказывает об истории возникновения компьютеров, на практических примерах помогает освоить основные концепции информационных технологий, подробно излагает принципы работы процессора и других устройств компьютера. 
  
 Написанная живо, доступно, иногда иронично, книга богато иллюстрирована, состоит из 25 глав и предметного указателя. 
  
 Издание адресовано в первую очередь студентам вузов (как гуманитарных, так и технических), а также всем, кто интересуется принципами создания и работы компьютеров. 
 #book@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
64,"Видеокурс по языку Python 
  
 1. Установка и настройка для Mac и Windows 
 2. Работа с текстовыми данными 
 3. Работа с числовыми данными 
 4. Списки, кортежи и множества 
 5. Словари. Работа с парами ключ-значение 
 6. Условные и логические выражения - If, Else и Elif Statements 
 7. Циклы и итерации - For/While 
 8. Функции 
 9. Импорт модулей и изучение стандартной библиотеки 
  
 Смотрите также полезные статьи по теме: 
  
 ? Программирование на Python: от новичка до профессионала 
 https://proglib.io/p/python-from-newbie-to-profession.. 
 ? Python: практики для написания эффективного кода 
 https://proglib.io/p/efficient-python-practices/ 
 ? 10 скрытых особенностей Python 
 https://proglib.io/p/hidden-features-of-python/ 
 #python   #novice   
  
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
38,"GSM Хакинг 
 ✅Декодируем GSM с использованием SDR и GR-GSM 
 ✅Декодируем цифровую радиосвязь с помощью DSD+ и SDRSharp 
 ✅SDR на DEFCON - Все ваши радиочастоты принадлежат мне. Часть 1 
 ✅SDR на DEFCON - Все ваши радиочастоты принадлежат мне. Часть 2 
 ✅SDR на DEFCON - Все ваши радиочастоты принадлежат мне. Часть 3 
 ✅SDR с HackRF. Урок 1 - Добро пожаловать. Майкл Осман 
 ✅HackRF One первое знакомство с устройством. Обзор и разборка SDR радио 
 ✅HackRF One + SDRSharp настройка и описание программы 
 #video   #hack   
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
180,,pass
18,"#литература@php2all от (ш) 
 Новая пара книг по дизайну 
 «Универсальные принципы дизайна» автора У. Лидвелл, К. Холден. 
 Поможет добиться правильного сочетания ясности, простоты и функциональности в дизайне, что создаст привлекательный внешний вид вашим работам. 
 """"Graphic Design Solutions"""" автор Robin Landa. 
 Приводит множество примеров визуальных и композиционных решений дизайнерских задач в брендинге, логотипах, веб дизайне, постерах и обложках книг.",pass
56,"Подборка материалов по английскому языку для IT-специалистов. 
 Beginner - Pre-Intermediate: 
 1. English for Information Technology [Pearson Longman] 
 Составляющие курса: книга для студентов + аудио к ней, книга для учителя, глоссарии и тесты. 
 2. Basic English for Computing [Oxford] 
 Полноценный курс, упор в котором делается на равномерное развитие всех четырех навыков владения иностранным языком: чтение, 
 понимание на слух, письмо и разговорной речи. 
 Intermediate - Advanced: 
 3. Infotech English for Computer Users [Cambridge] 
 Составляющие курса: книга студента + аудио к ней и книга для учителя. 
 4. Oxford English for Computing 
 Составляющие курса: книга студента + аудио к ней. 
 5. Oxford English for Information Technology 
 Составляющие курса: книга студента + аудио к ней. 
 Advanced: 
 6. Language and the Internet [Cambridge] 
 In recent years, the Internet has come to dominate our lives. There is a widespread view that as 'technospeak' comes to rule, standards will be lost. In this book, David Crystal argues the reverse: that the Internet has encouraged a dramatic expansion in the variety and creativity of language. Covering a range of Internet genres, including e-mail, chat, and the Web, this is a revealing account of how the Internet is radically changing the way we use language. 
 #book@php2all #english@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
35,"Ещё один курс по Java (теория + практика), ч.2 
  
 11. Операторы ч.1 (теория) 
 12. Операторы ч.2 (теория) 
 13. Массивы | Циклы (практика) 
 14. Циклы | while, do while | for (теория) 
 15. Массивы | for each (теория) 
 16. Функции | Debugger ч.1 (практика) 
 17. Функции | Debugger ч.2 (практика) 
 18. Аргументы командной строки (практика) 
 19. Строки | String (теория) 
 20. Где практиковаться JAVA (практика) 
 #video   #java   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
6,"Valencia #ttf #латиница (Free font) 
 Автор - Wassim Awadallah",pass
130,,pass
8,"Too Many Cowboys #ttf #латиница (Free font) 
 Автор - bristolillustrator",pass
164,Типичные подписчики,pass
48,"Криптография. 
  
 1. Маховенко Е. Б. Теоретико-числовые методы в криптографии. 
 2. Ростовцев А.Г., Маховенко Е.Б. Теоретическая криптография. 
 3. Мао, Венбо. Современная криптография: теория и практика. 
  4. Коутинхо С. Введение в теорию чисел 
 5. Х.К.А.ван Тилборг Основы Криптологии. Профессиональное руководство и интерактивный учебник. 
  6. В.О.Осипян Криптография в задачах и упражнениях. 
 7. М. Вельшенбах Криптография на Си и Сpp (C++) в действии. 
  
 #book@php2all #crypto@php2all 
  
  Книги в альбоме https://vk.com/php2all/book",pass
68,Для чего нужны комментарии,pass
54,"Задачники по программированию. 
  
 1. Скиена С., Ревилла М. - Олимпиадные задачи по программированию 
 2. Керниган Б., Пайк Р. «Практика программирования» 
 3. М.С.Долинский Решение сложных и олимпиадных задач по программированию. 
 4. Программирование: теоремы и задачи. А. Шень. 
 5. Меньшиков Ф. - Олимпиадные задачи по программированию 
 #book@php2all #task@php2all 
  
  
  
  
  
  Книги в альбоме https://vk.com/php2all/book",pass
51,"Сети Cisco шаг за шагом(Cisco Networks, Step by step) 
 Шаг 1 Подключение к маршрутизатору, настройка IP адреса 
 Шаг 2 Настройка пароля на портах Console и для доступа по telnet 
 Шаг 3 Основы статической маршрутизации 
 Шаг 4 Статическая маршрутизация через промежуточный маршрутизатор 
 Шаг 5 Маршрутизация с использованием маршрута по умолчанию 
 Шаг 6 Динамическая маршрутизация, настройка протокола RIP 
 Шаг 7 Динамическая маршрутизация, настройка протокола OSPF 
 Шаг 8 Динамическая маршрутизация, настройка протокола EIGRP 
 Шаг 9 Динамическая маршрутизация, настройка протокола BGP 
 Шаг 10 Настройка DNS сервера в программе Cisco Packet Tracer 
 #Cisco@i_odmin 
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
65,"Stackoverflow : ""Позволь мне тебе помочь!""",pass
79,,pass
108,"Как стать системным администратором? 
  
 ✅Топологии сети 
 ✅Построение сети на основе неэкранированной витой пары 
 ✅Устранение неисправности при обрыве кабеля 
 ✅Параметры TCPIP протокола 
 ✅Порты 
 ✅Проектирование и документирование 
 ✅Расчет эксплуатационных затрат 
 ✅Расчет экономического эффекта 
 ✅Расчет затрат на проектирование 
 ✅Для чего нужен полигон 
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
34,"CSS. Карманный справочник (2016) 
 Автор: Эрик А. Мейер 
 Работая с каскадными таблицами стилей (CSS), читатель может быстро найти нужный ответ в этом удобном кратком справочнике, в котором предоставляются все основные сведения, необходимые для оперативной реализации CSS. Этот карманный справочник идеально подходит для веб-разработчиков от промежуточного до продвинутого уровня квалификации, а его четвертое издание дополнено согласно спецификации CSS3. Помимо полного перечня в алфавитном порядке селекторов и свойств CSS3, вы найдете в этом издании краткое введение в основные понятия CSS. В основу этого справочника положен материал книги CSS. Каскадные таблицы стилей. Подробное руководство того же автора. Он служит удобной памяткой по спецификациям CSS при решении текущих задач веб-разработки. «CSS. Карманный справочник» поможет вам: Быстро найти и адаптировать нужные элементы стилевого оформления Узнать, каким образом средства CSS3 дополняют и расширяют ваши практические навыки применения CSS Обнаружить новые типы значений и новые CSS-селекторы Реализовать падающие тени, несколько задних планов, скругленные углы и изображения границ элементов разметки веб-страниц Получить новые сведения о преобразованиях и переходах. 
 #book@php2all #css@php2all 
  
  Книги в альбоме https://vk.com/php2all/book",pass
167,,pass
42,"Создаем Нейросеть на C++ 
 #cpp   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
70,,pass
36,"Скрапинг веб-сайтов с помощью Python 
 Автор: Райан Митчелл 
 Изучите методы скрапинга и краулинга веб-сайтов, чтобы получить доступ к неограниченному объему данных в любом уголке Интернета в любом формате. С помощью этого практического руководства вы узнаете, как использовать скрипты Python и веб-API, чтобы одновременно собрать и обработать данные с тысяч или даже миллионов веб-страниц. 
 Идеально подходящая для программистов, специалистов по безопасности и веб-администраторов, знакомых с языком Python, книга знакомит не только с основными принципами работы веб-скраперов, но и углубляется в более сложные темы, такие, как анализ сырых данных или использование скраперов для тестирования интерфейса веб-сайта. Примеры программного кода, приведенные в книге, помогут разобраться в этих принципах на практике. 
 Прочитав эту книгу, вы научитесь: 
 
 ● выполнять парсинг сложных HTML страниц; 
 ● сканировать веб-страницы и сайты; 
 ● работать с API; 
 ● применять несколько методов хранения собранных данных; 
 ● скачивать, обрабатывать и извлекать данные из документов; 
 ● использовать инструменты и методы для очистки плохо отформатированных данных; 
 ● читать и записывать естественные языки; 
 ● выполнять краулинг с использованием регистрационных форм; 
 ● выполнять скрапинг Javascript-кода; 
 ● обрабатывать изображения и распознавать текст. 
 
 Инструменты и примеры, приведенные в этой книге, позволяют легко автоматизировать несколько повторяющихся задач, высвобождая время для решения более насущных проблем. Это легко читаемая, ориентированная на конкретный результат книга, рассказывающая о реальных проблемах и решениях. 
 #book@php2all #python@php2all 
 
 (Больше книг тут https://vk.com/php2all/book )",pass
46,"Web-технологии 
 #web #javascript 
 1. Введение. Протокол HTTP 
 2. Протокол HTTP 
 3. Web-серверы. nginx 
 4. Web-технологии. Apache HTTP-сервер 
 5. Основы JS Ч.1 
 6. Основы JS Ч.2 
 7. Основы JS Ч.3 
 8. Основы JS Ч.4 
 Еще больше уроков из этой серии смотрите здесь ? https://www.youtube.com/playlist?list=PLwwk4BHih4fj5cjuEozS3Uf4s8e3ZVb9_ 
 
 
 #video@php2all ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
45,"Основы теории графов 
  О курсе 
 01 - Основы теории графов. Основные понятия и определения 
 02 - Основы теории графов. Маршруты, пути, циклы. Понятие связности. Двудольные графы. 
 03 - Основы теории графов. Подграфы. Основные операции над графами 
 04 - Основы теории графов. Изоморфизм и автоморфизм графов 
 05 - Основы теории графов. Деревья 
 06 - Основы теории графов. Эйлеровы графы 
 07 - Основы теории графов. Паросочетания. Теорема Холла 
 08 - Основы теории графов. Гамильтоновы циклы 
 09 - Основы теории графов. Графы Де Брейна 
 10 - Основы теории графов. Вершинная и реберная связность 
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
9,"Учитесь предотвращать киберугрозы на практике🔥

Получите практические навыки анализа уязвимостей и защиты от кибератак за 4 дня погружения в этичный хакинг.

На интенсиве вы научитесь:
— Устанавливать и настраивать сеть на Linux-системах
— Настраивать сеть и понимать особенности ее работы
— Понимать взаимодействие между виртуальной и физической машиной
— Осуществлять ряд сетевых атак и выстраивать защиту от них
— Анализировать безопасность ОС

Интенсив ведет: Ильдар Садыков, действующий руководитель отдела ИБ Федерального бюро МСЭ Министерство труда и социальной защиты РФ. Управляет 2 000 системами в 85 регионах РФ.

Читайте подробности и оставляйте заявку на сайте: https://vk.cc/avAEhA",pass
66,,pass
6,"Monk #otf #ttf #латиница (Free font) 
 Автор - Jeremy Ross",pass
80,"8 лучших книг из серии «Head First O'Reilly» 
 1. [Head First] Изучаем C 3-е изд. 
 2. [Head First] Паттерны проектирования 
 3. [Head First] Программируем для iPhone и iPad. 3-е изд. 
 4. [Head First] Изучаем HTML, XHTML и CSS 2-е изд. 
 5. [Head First] Разработка веб-сайтов для мобильных устройств. 
 6. [Head First] Объектно-ориентированный анализ и проектирование. 
 7. [Head First] Изучаем работу с jQuery. 
 8. [Head First] Изучаем Java 
 #book@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
33,"Программист в США о российских дипломах. Как пройти собеседование в YouTube 
 ПРОГРАММИСТ ИЗ GOOGLE: собеседования, промоушн, типичный рабочий день, криптовалюты 
  
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
14,"Epicave Bold #otf #ttf #латиница (Free for personal use) 
 Автор - Ольга Давыдова",pass
235,,pass
10,"Excentra Pro Light #otf #ttf #кириллица #латиница (Free font) 
 Set of 2 fonts. 
 Автор - Andriy Konstantynov 
 ________________ 
 #sans@php2all",pass
38,,pass
41,"Java.Промышленное программирование 
  
 Пособие предназначено для программистов, начинающих и продолжающих изучение технологий Java SE 6 и J2EE. В его первой части рассматриваются основы языка Java и концепции объектно-ориентированного программирования. Во второй части изложены важнейшие аспекты применения библиотек классов языка Java, включая файлы, коллекции, сетевые и многопоточные приложения, а также взаимодействие с ХМL. В третьей части приведены основы программирования распределенных информационных систем с применением сервлетов, JSP, баз данных и собственных тегов разработчика. В конце каждой главы даются тестовые вопросы по материалу главы и задания для выполнения. В приложениях приведены дополнительные материалы, относящиеся к использованию HTML, XML, JavaScript, а также краткое описание популярных технологий Struts и Hibernate для разработки распределенных систем, объединяющих возможности J2EE и XML. 
 #book@php2all #java@php2all 
  
  Книги в альбоме https://vk.com/php2all/book",pass
54,"Английский язык 
 Метод чтения Ильи Франка 
 Метод чтения Ильи Франка — метод, облегчающий чтение книг на иностранном языке за счет того, что текст в данных книгах разбит на абзацы, сначала идет адаптированный отрывок (на иностранном с подробными пояснениями смысла отрывка и разбором новых слов), затем идет тот же текст, но уже чисто на английском. 
 Таким образом, читатель сначала прочитывает предложение на иностранном языке, вникает в суть написанного, разбирая незнакомые участки, а затем закрепляет материал прочтением отрывка полностью на английском (или любом другом языке). 
 Для всех, кто хочет повысить свой уровень владения языком, мы сделали небольшую подборку обучающих материалов 
 #book@php2all #english@php2all 
  
  (Больше книг тут https://vk.com/php2all/book )",pass
39,"Уроки по Qt 
 Qt - фреймворк для разработки программного обеспечения на языке программирования C++ 
 1. C++ Notepad App 
 2. C++ Calculator 
 3. Qt Charts 
 4. Qt Paint App 
 5. Finish Paint App 
 #video   #cpp   #frontend   
  
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
47,Когда начальник смотрит в твой монитор,pass
143,,pass
50,"Лайфхаки и фишки в Фотошоп 
 
 ✅ Топ 9 смертельных ошибок фотошопера. Топ 9 фейлов в фотошопе. 
 ✅ 5 лайфхаков Photoshop от Фотошоп кво. Фишки фотошопа. 
 ✅5 Способов вырезать ВСЕ в фотошопе! Как в фотошопе вырезать волосы. 
 ✅5 крутых лайфхака фотошопа от Фотошоп кво. Фишки в Adobe Photoshop. 
 ✅7 Лайфхаков фотошопа от Фотошоп кво. 
 ✅Как вырезать волосы с ЛЮБОГО фона в Photoshop . Как вырезать объект в фотошопе 
 ✅5 лайфхаков в Photoshop. Каждый фотошопер должен знать это 
 #video #design 
 
 
 #video@php2all ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
50,"Книги по HTML5 и CSS3 
 1. Нидерст Роббинс - HTML5 CSS3 и JavaScript исчерпывающее руководство 
 2. Мэтью Мак-Дональд - HTML5 Недостающее руководство 
 3. Дэвид Макфарланд - Большая книга CSS3 
 4. Джилленуотер - Сила CSS3. Освой новейший стандарт веб-разработок 
 5. Б.Лоусон, Р.Шарп - Изучаем HTML 5 
 6. Хоган Б. - HTML5 и CSS3. Веб-разработка по стандартам нового поколения 
 7. Дронов В. - HTML.5.CSS.3.и.Web 2.0.Разработка.современных.Web-сайтов 
 8. Бен Фрейн - HTML5 и CSS3 Разработка сайтов для любых браузеров и устройств 
 #book@php2all #html@php2all #css@php2all 
  
  Книги в альбоме https://vk.com/php2all/book",pass
33,,pass
65,"Создание сайта на WordPress 
 ✅Как создать сайт на WordPress с нуля (2018) 
 ✅Cоздание сайта на WordPress (ПОЛНАЯ Пошаговая Видеоинструкция) 
 ✅Как создать сайт ВСЕ УРОКИ (2018) 
 ✅WordPress - Создание сайта С НУЛЯ 
 ✅САЙТ НА WORDPRESS БЕСПЛАТНО ЗА 2 ЧАСА! 
 ✅САМОЕ БЫСТРОЕ СОЗДАНИЕ САЙТА НА WORDPRESS 
 #video   #wp   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
90,"Когда антивирус срабатывает, когда это нужно",pass
28,"Deep Learning with Python (2017)

Глубокое обучение — Deep learning — это набор алгоритмов машинного обучения, которые моделируют высокоуровневые абстракции в данных, используя архитектуры, состоящие из множества нелинейных преобразований. 
 
Согласитесь, эта фраза звучит угрожающе. Но всё не так страшно, если о глубоком обучении рассказывает Франсуа Шолле, который создал Keras — самую мощную библиотеку для работы с нейронными сетями. 
 
Познакомьтесь с глубоким обучением на практических примерах из самых разнообразных областей. Книга делится на две части: в первой даны теоретические основы, вторая посвящена решению конкретных задач. 
 
Это позволит вам не только разобраться в основах DL, но и научиться использовать новые возможности на практике. 
 
Обучение — это путешествие длиной в жизнь, особенно в области искусственного интеллекта, где неизвестностей гораздо больше, чем определенности.
 
 #book@php2all 

 
 Книги в альбоме https://vk.com/php2all/book",pass
55,"Linux администрирование 

 #video #sysad #linux 
 #video@php2all больше видео в нашем каталоге https://vk.com/videos-3183750",pass
31,"🔴 Можно ли войти в IT после 30-ти? Я постараюсь дать ответ как стать программистом после 30, хорошенько мотивирую, а также дам пару советов как подать себя на собеседовании в IT компанию. И помогут мне в этом реальные истории других ребят. Как им удалось превратиться из ведущего свадеб в верстальщика, а из маникюрщицы в веб-разработчики? Все ответы в этом видосе! Ну что, ""старички"", погнали!",pass
78,"Вступление в книге ""React быстро""",pass
8,"Rebli Script #ttf #латиница (Free for personal use) 
 Автор - BC NT",pass
57,"Несколько книг по развитию логики 
 #book@php2all #logic@php2all 
 
 (Больше книг тут https://vk.com/php2all/book )",pass
83,"Межсетевое взаимодействие в сетях на базе TCP-IP 
 01 Postanovka zadachi 
 02 Data Link layer 
 03 Network layer 
 04 Transport AND Session layers 
 05 Name system 
 06 IPv6 
 07 VPN 
 08 SNMP 
 09 Nastroika Netgear 
 #video   #sysad   
 
 #video@php2all  ( интересные видеокурсы https://vk.com/videos-3183750 )",pass
68,Как работает парсер,pass
253,,pass
4,"Florence Script #ttf #латиница (Free font) 
 Автор - Wassim Awadallah",pass
81,,pass
